loinc	scale	interpretation	hpoTermId
LOINC:1524-8	Qn	N	HP:0011015
LOINC:1524-8	Qn	H	HP:0003074
LOINC:1525-5	Qn	L	HP:0001943
LOINC:1525-5	Qn	N	HP:0011015
LOINC:1525-5	Qn	H	HP:0003074
LOINC:1526-3	Qn	L	HP:0001943
LOINC:1526-3	Qn	N	HP:0011015
LOINC:1526-3	Qn	H	HP:0003074
LOINC:1527-1	Qn	L	HP:0001943
LOINC:1527-1	Qn	N	HP:0011015
LOINC:1527-1	Qn	H	HP:0003074
LOINC:1528-9	Qn	L	HP:0001943
LOINC:1528-9	Qn	N	HP:0011015
LOINC:1528-9	Qn	H	HP:0003074
LOINC:1530-5	Qn	L	HP:0001943
LOINC:1530-5	Qn	N	HP:0011015
LOINC:1530-5	Qn	H	HP:0003074
LOINC:1533-9	Qn	L	HP:0001943
LOINC:1533-9	Qn	N	HP:0011015
LOINC:1533-9	Qn	H	HP:0003074
LOINC:1534-7	Qn	L	HP:0001943
LOINC:1534-7	Qn	N	HP:0011015
LOINC:1534-7	Qn	H	HP:0003074
LOINC:1535-4	Qn	L	HP:0001943
LOINC:1535-4	Qn	N	HP:0011015
LOINC:1535-4	Qn	H	HP:0003074
LOINC:1536-2	Qn	L	HP:0001943
LOINC:1536-2	Qn	N	HP:0011015
LOINC:1536-2	Qn	H	HP:0003074
LOINC:1537-0	Qn	L	HP:0001943
LOINC:1537-0	Qn	N	HP:0011015
LOINC:1537-0	Qn	H	HP:0003074
LOINC:1539-6	Qn	L	HP:0001943
LOINC:1539-6	Qn	N	HP:0011015
LOINC:1539-6	Qn	H	HP:0003074
LOINC:1540-4	Qn	L	HP:0001943
LOINC:1540-4	Qn	N	HP:0011015
LOINC:1540-4	Qn	H	HP:0003074
LOINC:1542-0	Qn	L	HP:0001943
LOINC:1542-0	Qn	N	HP:0011015
LOINC:1542-0	Qn	H	HP:0003074
LOINC:1543-8	Qn	L	HP:0001943
LOINC:1543-8	Qn	N	HP:0011015
LOINC:1543-8	Qn	H	HP:0003074
LOINC:1544-6	Qn	L	HP:0001943
LOINC:1544-6	Qn	N	HP:0011015
LOINC:1544-6	Qn	H	HP:0003074
LOINC:1547-9	Qn	L	HP:0001943
LOINC:1547-9	Qn	N	HP:0011015
LOINC:1547-9	Qn	H	HP:0003074
LOINC:1548-7	Qn	L	HP:0001943
LOINC:1548-7	Qn	N	HP:0011015
LOINC:1548-7	Qn	H	HP:0003074
LOINC:1549-5	Qn	L	HP:0001943
LOINC:1549-5	Qn	N	HP:0011015
LOINC:1549-5	Qn	H	HP:0003074
LOINC:1550-3	Qn	L	HP:0001943
LOINC:1550-3	Qn	N	HP:0011015
LOINC:1550-3	Qn	H	HP:0003074
LOINC:1551-1	Qn	L	HP:0001943
LOINC:1551-1	Qn	N	HP:0011015
LOINC:1551-1	Qn	H	HP:0003074
LOINC:1552-9	Qn	L	HP:0001943
LOINC:1552-9	Qn	N	HP:0011015
LOINC:1552-9	Qn	H	HP:0003074
LOINC:1553-7	Qn	L	HP:0001943
LOINC:1553-7	Qn	N	HP:0011015
LOINC:1553-7	Qn	H	HP:0003074
LOINC:1554-5	Qn	L	HP:0001943
LOINC:1554-5	Qn	N	HP:0011015
LOINC:1554-5	Qn	H	HP:0003074
LOINC:1555-2	Qn	N	HP:0003076
LOINC:1555-2	Qn	H	HP:0003076
LOINC:1557-8	Qn	L	HP:0003162
LOINC:1557-8	Qn	N	HP:0011015
LOINC:1557-8	Qn	H	HP:0003074
LOINC:1558-6	Qn	L	HP:0001943
LOINC:1558-6	Qn	N	HP:0011015
LOINC:1558-6	Qn	H	HP:0003074
LOINC:1588-3	Qn	L	HP:0030344
LOINC:1588-3	Qn	N	HP:0030345
LOINC:1588-3	Qn	H	HP:0011969
LOINC:1592-5	Qn	L	HP:0030344
LOINC:1592-5	Qn	N	HP:0030345
LOINC:1592-5	Qn	H	HP:0011969
LOINC:1594-1	Qn	L	HP:0030344
LOINC:1594-1	Qn	N	HP:0030345
LOINC:1594-1	Qn	H	HP:0011969
LOINC:1596-6	Qn	L	HP:0030344
LOINC:1596-6	Qn	N	HP:0030345
LOINC:1596-6	Qn	H	HP:0011969
LOINC:1599-0	Qn	L	HP:0030344
LOINC:1599-0	Qn	N	HP:0030345
LOINC:1599-0	Qn	H	HP:0011969
LOINC:1600-6	Qn	L	HP:0030344
LOINC:1600-6	Qn	N	HP:0030345
LOINC:1600-6	Qn	H	HP:0011969
LOINC:1644-4	Qn	N	HP:0003077
LOINC:1644-4	Qn	H	HP:0002155
LOINC:1649-3	Qn	L	HP:0003127
LOINC:1649-3	Qn	N	HP:0011280
LOINC:1649-3	Qn	H	HP:0002150
LOINC:1668-3	Qn	N	HP:0031213
LOINC:1668-3	Qn	H	HP:0031213
LOINC:1674-1	Qn	N	HP:0012112
LOINC:1679-0	Qn	L	HP:0012053
LOINC:1679-0	Qn	N	HP:0100511
LOINC:1679-0	Qn	H	HP:0031415
LOINC:1688-1	Qn	L	HP:0008326
LOINC:1688-1	Qn	N	HP:0032476
LOINC:1688-1	Qn	H	HP:0032477
LOINC:1696-4	Qn	L	HP:0410217
LOINC:1696-4	Qn	N	HP:0410216
LOINC:1715-2	Qn	N	HP:0004356
LOINC:1715-2	Qn	H	HP:0003148
LOINC:1716-0	Qn	N	HP:0012072
LOINC:1716-0	Qn	H	HP:0012072
LOINC:1717-8	Qn	N	HP:0045045
LOINC:1717-8	Qn	H	HP:0045045
LOINC:1722-8	Qn	N	HP:0030272
LOINC:1722-8	Qn	H	HP:0030270
LOINC:1742-6	Qn	N	HP:0031964
LOINC:1742-6	Qn	H	HP:0031964
LOINC:1746-7	Qn	L	HP:0025458
LOINC:1746-7	Qn	N	HP:0025456
LOINC:1751-7	Qn	L	HP:0003073
LOINC:1751-7	Qn	N	HP:0012116
LOINC:1751-7	Qn	H	HP:0012117
LOINC:1754-1	Qn	N	HP:0000093
LOINC:1754-1	Qn	H	HP:0012592
LOINC:1759-0	Qn	L	HP:0003073
LOINC:1759-0	Qn	N	HP:0012116
LOINC:1759-0	Qn	H	HP:0012117
LOINC:1761-6	Qn	L	HP:0012545
LOINC:1761-6	Qn	N	HP:0012400
LOINC:1761-6	Qn	H	HP:0012544
LOINC:1763-2	Qn	L	HP:0004319
LOINC:1763-2	Qn	N	HP:0004319
LOINC:1763-2	Qn	H	HP:0000859
LOINC:1777-2	Qn	L	HP:0010684
LOINC:1777-2	Qn	N	HP:0004379
LOINC:1777-2	Qn	H	HP:0010639
LOINC:1778-0	Qn	L	HP:0010687
LOINC:1778-0	Qn	N	HP:0004379
LOINC:1778-0	Qn	H	HP:0010681
LOINC:1798-8	Qn	L	HP:0410289
LOINC:1798-8	Qn	N	HP:0410282
LOINC:1798-8	Qn	H	HP:0410288
LOINC:1805-1	Qn	L	HP:0410289
LOINC:1805-1	Qn	N	HP:0410282
LOINC:1805-1	Qn	H	HP:0410288
LOINC:1806-9	Qn	L	HP:0410289
LOINC:1806-9	Qn	N	HP:0410282
LOINC:1806-9	Qn	H	HP:0410288
LOINC:1807-7	Qn	L	HP:0410289
LOINC:1807-7	Qn	N	HP:0410282
LOINC:1807-7	Qn	H	HP:0410288
LOINC:1808-5	Qn	L	HP:0410289
LOINC:1808-5	Qn	N	HP:0410282
LOINC:1808-5	Qn	H	HP:0410288
LOINC:1825-9	Qn	L	HP:0032025
LOINC:1825-9	Qn	N	HP:0032025
LOINC:1825-9	Qn	H	HP:0032025
LOINC:1826-7	Qn	L	HP:0032025
LOINC:1826-7	Qn	N	HP:0032025
LOINC:1834-1	Qn	L	HP:0045057
LOINC:1834-1	Qn	N	HP:0045056
LOINC:1834-1	Qn	H	HP:0006254
LOINC:1836-6	Qn	L	HP:0031032
LOINC:1836-6	Qn	N	HP:0031031
LOINC:1839-0	Qn	L	HP:0100493
LOINC:1839-0	Qn	N	HP:0004364
LOINC:1839-0	Qn	H	HP:0001987
LOINC:1841-6	Qn	L	HP:0100493
LOINC:1841-6	Qn	N	HP:0002157
LOINC:1841-6	Qn	H	HP:0001987
LOINC:1848-1	Qn	L	HP:0040171
LOINC:1848-1	Qn	N	HP:0030347
LOINC:1848-1	Qn	H	HP:0030088
LOINC:1854-9	Qn	N	HP:0500022
LOINC:1854-9	Qn	H	HP:0025380
LOINC:1863-0	Qn	L	HP:0031963
LOINC:1863-0	Qn	N	HP:0031961
LOINC:1863-0	Qn	H	HP:0031962
